image_path,prompt,size
assets/images/backgrounds/cta-1-bg-1.jpg,"Ảnh panorama nhà máy sản xuất pin điện thoại hiện đại, dây chuyền tự động chạy song song với đèn xanh lá tạo cảm giác năng lượng sạch.",1920x1280
assets/images/backgrounds/cta-2-bg-1.jpg,"Cận cảnh bàn tay kỹ sư cầm mô-đun pin smartphone phát sáng trong phòng thí nghiệm tối, độ sâu trường ảnh nhỏ.",1920x1281
assets/images/backgrounds/cta-3-bg-1.jpg,"Ảnh kho lưu trữ cell pin đóng trong hộp gỗ tái chế, ánh sáng tự nhiên chiếu xiên qua cửa sổ tạo cảm giác bền vững.",1894x489
assets/images/backgrounds/page-header-bg-1-1.jpg,Ảnh rộng khu kiểm định pin smartphone với hàng màn hình hiển thị số liệu và kỹ sư mặc đồ trắng.,1894x417
assets/images/blog/blog-author-1-1.jpg,"Chân dung kỹ sư trưởng người Việt trong phòng lab pin điện thoại, ánh sáng mềm và nền mờ.",167x167
assets/images/blog/blog-d-1-1.jpg,Ảnh macro tháo lắp pin lithium vào khung điện thoại với dụng cụ chính xác trên bàn trắng.,770x419
assets/images/blog/blog-grid-1.jpg,Ảnh kỹ sư đang soi cell pin dưới kính hiển vi trong phòng sạch.,370x244
assets/images/blog/blog-grid-2.jpg,Ảnh nhóm nghiên cứu trình bày bảng mạch quản lý pin bên cạnh smartphone.,370x244
assets/images/blog/blog-grid-3.jpg,Ảnh macro dây chuyền ép lớp cực pin với ánh sáng kỹ thuật.,370x244
assets/images/blog/blog-grid-4.jpg,Ảnh đóng gói pin điện thoại vào hộp thân thiện môi trường với nhãn xanh.,370x244
assets/images/blog/blog-grid-5.jpg,Ảnh concept smartphone đặt trên bàn cùng mô-đun pin và cảm biến nhiệt.,370x244
assets/images/blog/blog-grid-6.jpg,Ảnh minh hoạ dữ liệu hiệu suất pin hiển thị trên màn hình cảm ứng lớn.,370x244
assets/images/blog/blog-s-1-1.jpg,Ảnh 3/4 kỹ sư trẻ đang hiệu chỉnh máy thử pin.,78x78
assets/images/blog/blog-s-1-2.jpg,"Ảnh bàn làm việc với cell pin, kính bảo hộ và sổ tay ghi chép.",78x78
assets/images/blog/blog-s-1-3.jpg,Ảnh nhân viên kiểm tra nhiệt độ pin bằng camera hồng ngoại.,78x78
assets/images/blog/comment-1-1.jpg,"Ảnh chân dung khách hàng trẻ cầm điện thoại, đèn studio dịu và hậu cảnh xưởng pin.",167x167
assets/images/blog/comment-1-2.jpg,"Ảnh chân dung doanh nhân nam trao đổi về giải pháp pin, nền là màn hình hiển thị dữ liệu năng lượng.",167x167
assets/images/main-slider/main-slider-1-1.jpg,"Ảnh hero: dây chuyền lắp ráp pin smartphone quy mô lớn, camera góc rộng với đèn xanh neon nhưng nền tổng thể tối, có vùng gradient đậm bên trái để đặt chữ trắng.",1894x826
assets/images/main-slider/main-slider-1-2.jpg,"Ảnh hero: cận cảnh mô-đun pin lithium đặt trên bàn phản chiếu, ánh sáng điểm nhấn xanh dương, nền phòng lab tối bokeh nhẹ để chữ trắng nổi bật.",1894x826
assets/images/main-slider/main-slider-2-1.jpg,"Ảnh hero: đội ngũ kỹ sư quan sát màn hình điều khiển pin thông minh, ánh sáng trắng xanh dịu, nền tối với vùng chuyển màu đậm không quá chói để hỗ trợ chữ trắng.",1894x905
assets/images/main-slider/main-slider-2-2.jpg,"Ảnh hero: concept smartphone phát sáng cùng mô hình cell pin, nền đen/tím sâu với tia sáng nhẹ, bố cục chừa khoảng tối rộng cho chữ màu trắng.",1894x905
assets/images/projects/project-1-1.jpg,Ảnh mô-đun pin smartphone dạng khối xếp lớp trên bàn kim loại.,370x452
assets/images/projects/project-1-2.jpg,"Ảnh dây chuyền đóng cell pin thành pack hoàn chỉnh, robot làm việc.",370x452
assets/images/projects/project-1-3.jpg,Ảnh kỹ sư đang thử độ giãn nở pin bằng máy đo lực.,370x452
assets/images/projects/project-1-4.jpg,Ảnh lắp pin vào thân điện thoại trong khu vực chống tĩnh điện.,370x452
assets/images/projects/project-1-5.jpg,Ảnh test rung và va đập cho pin điện thoại với thiết bị chuyên dụng.,370x452
assets/images/projects/project-1-6.jpg,Ảnh vận chuyển pallet pin hoàn thiện trong kho sạch.,370x452
assets/images/projects/project-2-1.jpg,Ảnh phòng lab mô phỏng nhiệt pin với nhiều cảm biến gắn vào cell.,570x452
